Family;Ploidy;He;Pop;Treat;PetalLength;CorollaDiam;CorollaLength;LongFil;ShortFil;Herkogamy;Height;Nstalk;StalkDiam;Nflowers ;Fruitset;Seedset;Fitness
212;6n;0;Ei18;Garden;3,1;7,54;7,29;8,74;8,08;9,22;18;4;4,65;33;0,90909091;0,98;0,137924564
214;6n;1;Ei18;Garden;3,53;6,48;7,25;7,31;6,61;8,95;13;1;2,08;NA;NA;NA;0
214;6n;1;Ei18;Garden;2,78;5,48;7,68;6,1;5,08;6,18;14,3;1;3,25;NA;NA;NA;0
214;6n;1;Ei18;Garden;3,02;5,41;7,47;7,62;6,99;8,66;NA;NA;NA;NA;NA;NA;0
215;6n;1;Ei18;Garden;3,75;5,37;7,88;6,53;5,73;8,25;NA;NA;NA;NA;NA;NA;0
215;6n;1;Ei18;Garden;3,88;5,84;7,18;7,14;6,18;7,6;NA;NA;NA;NA;NA;NA;0
216;6n;0;Ei18;Garden;3,47;4,87;7,92;6,68;5,88;7,48;16;4;5,94;62;0,91935484;0,770114943;0,179161193
170;4n;1;Ei08;Garden;3,1;6,57;8,98;7,04;5,03;6,29;20,5;1;2,72;21;0,90476191;NA;0
218;6n;1;Ei18;Garden;3,28;5,49;7,96;7,25;6,51;5,75;15;5;6,4;37;0,94594595;0,964285714;0,221664477
218;6n;1;Ei18;Garden;3,9;6,43;7,18;8,41;6,73;6,35;NA;NA;NA;NA;NA;NA;0
189;2n;0;Ei13;Garden;2,36;5,25;7,36;6,83;5,44;5,33;11;2;1,16;20;0,9;0,985507246;0,057421655
217;6n;0;Ei18;Garden;5,47;7,78;6,52;4,78;6,11;NA;11;1;1,45;29;0,89655172;NA;0
218;6n;1;Ei18;Garden;2,23;4,95;7,66;7,17;5,86;8,2;21;1;2,04;39;0,94871795;0,988095238;0,144070182
218;6n;1;Ei18;Garden;3,13;5,7;7,05;6,88;4,85;6,55;19;2;2,35;60;0,91666667;1;0,258022143
214;6n;1;Ei18;Garden;2,62;5,13;5,95;7,43;5,35;6,18;13,5;3;4,08;33;0,93939394;0,987951805;0,159004191
214;6n;1;Ei18;Garden;2,75;4,97;5,99;7,24;6,55;5,5;NA;NA;NA;NA;NA;NA;0
214;6n;1;Ei18;Garden;2,83;5,46;6,77;7,15;5,61;5,69;NA;NA;NA;NA;NA;NA;0
217;6n;0;Ei18;Garden;1,73;4,3;6,53;6,35;4,16;5,56;NA;NA;NA;NA;NA;NA;0
210;6n;0;Ei18;Garden;3,72;7,1;8,02;8,43;6,66;7,02;18,5;7;5,92;77;0,85714286;0,993421053;0,467536123
186;2n;1;Ei12;Garden;3,75;6,49;7,33;7,37;5,68;6,38;NA;NA;NA;NA;NA;NA;0
205;4n;0;Ei09;Garden;2,39;4,67;6,19;5,98;4,25;4,77;33;1;3,12;24;0,91666667;1;0,090823794
216;6n;0;Ei18;Garden;2,2;4,93;7,11;7,8;5,77;5,74;11;1;2,81;19;0,94736842;NA;0
216;6n;0;Ei18;Garden;2,22;4,54;5,97;7,42;5,74;4,79;10;1;1,93;21;1;0,949494949;0,092606493
216;6n;0;Ei18;Garden;2,62;4,66;7,11;7,78;6,11;5,64;11;1;2,27;17;1;NA;0
217;6n;0;Ei18;Garden;2,5;4,64;5,58;7,24;5,23;4,37;10,7;1;1,79;NA;NA;NA;0
165;6n;0;Ei16;Garden;2,66;4,72;6,88;6,96;5,06;5,21;24,5;1;2,65;19;0,84210526;0,811881188;0,061550009
208;4n;0;Ei09;Garden;2,92;4,06;6,91;6,19;4,61;4,67;27,5;1;2,28;11;0,90909091;NA;0
201;4n;1;Ei09;Garden;2,66;5,34;7,94;6,21;4,82;6,62;40;1;2,78;33;0,84848485;0,736842103;0,049039845
168;6n;1;Ei16;Garden;3,33;5,7;7,6;7,57;6,42;5,76;12;8;4,34;74;0,94594595;0,386666667;0,12697817
160;6n;1;Ei16;Garden;2,44;3,99;6,97;7,06;5,24;5,21;31;4;2,85;32;0,96875;0,220779221;0,024723213
159;6n;0;Ei16;Garden;2,97;6,33;7,98;7,14;5,76;6,35;32;9;3,56;66;0,78787879;0,457142857;0,078063427
178;4n;1;Ei08;Garden;2,94;5,04;8,96;8,11;6,31;7,19;27;5;3,41;58;0,82758621;NA;0
170;4n;1;Ei08;Garden;2,9;4,59;8,55;6,83;5,25;7,43;20,5;1;2,35;16;0,75;0,914893619;0,064552449
173;4n;0;Ei08;Garden;3,18;4,92;7,82;6,34;4,78;7,37;28;6;2,94;67;0,58208955;0,944444444;0,124413586
160;6n;1;Ei16;Garden;2,14;4,52;7,42;7,65;6,07;6,46;43;6;5,68;78;0,93589744;0,969465649;0,434931507
211;6n;0;Ei18;Garden;1,43;3,88;5,26;5,12;3,57;4,72;12,5;7;5,14;71;0,98591549;NA;0
206;4n;0;Ei09;Garden;2,31;4,67;7,11;7,34;6,3;6,9;44,5;7;4,67;65;0,87692308;0,984455959;0,508069056
206;4n;0;Ei09;Garden;2,47;4,62;6,16;6,06;5,2;4,8;39,5;5;3,09;31;0,87096774;0,992700728;0,22968662
